filippo.io/edwards25519,https://github.com/FiloSottile/edwards25519/blob/v1.2.0/LICENSE,BSD-3-Clause
github.com/99designs/gqlgen,https://github.com/99designs/gqlgen/blob/v0.17.90/LICENSE,MIT
github.com/VividCortex/ewma,https://github.com/VividCortex/ewma/blob/v1.2.0/LICENSE,MIT
github.com/acarl005/stripansi,https://github.com/acarl005/stripansi/blob/5a71ef0e047d/LICENSE,MIT
github.com/agnivade/levenshtein,https://github.com/agnivade/levenshtein/blob/v1.2.1/License.txt,MIT
github.com/clipperhouse/uax29/v2/graphemes,https://github.com/clipperhouse/uax29/blob/v2.7.0/LICENSE,MIT
github.com/ericismyeldestson/chinese-poetry-api,https://github.com/ericismyeldestson/chinese-poetry-api/blob/HEAD/LICENSE,GPL-3.0
github.com/fhluo/hanconv/go,https://github.com/fhluo/hanconv/blob/go/v0.3.0/go/LICENSE,MIT
github.com/fsnotify/fsnotify,https://github.com/fsnotify/fsnotify/blob/v1.9.0/LICENSE,BSD-3-Clause
github.com/gabriel-vasile/mimetype,https://github.com/gabriel-vasile/mimetype/blob/v1.4.13/LICENSE,MIT
github.com/gin-contrib/sse,https://github.com/gin-contrib/sse/blob/v1.1.1/LICENSE,MIT
github.com/gin-gonic/gin,https://github.com/gin-gonic/gin/blob/v1.12.0/LICENSE,MIT
github.com/go-playground/locales,https://github.com/go-playground/locales/blob/v0.14.1/LICENSE,MIT
github.com/go-playground/universal-translator,https://github.com/go-playground/universal-translator/blob/v0.18.1/LICENSE,MIT
github.com/go-playground/validator/v10,https://github.com/go-playground/validator/blob/v10.30.3/LICENSE,MIT
github.com/go-sql-driver/mysql,https://github.com/go-sql-driver/mysql/blob/v1.9.3/LICENSE,MPL-2.0
github.com/go-viper/mapstructure/v2,https://github.com/go-viper/mapstructure/blob/v2.5.0/LICENSE,MIT
github.com/goccy/go-yaml,https://github.com/goccy/go-yaml/blob/v1.19.2/LICENSE,MIT
github.com/google/uuid,https://github.com/google/uuid/blob/v1.6.0/LICENSE,BSD-3-Clause
github.com/gorilla/websocket,https://github.com/gorilla/websocket/blob/v1.5.0/LICENSE,BSD-2-Clause
github.com/hashicorp/golang-lru/v2,https://github.com/hashicorp/golang-lru/blob/v2.0.7/LICENSE,MPL-2.0
github.com/hashicorp/golang-lru/v2/simplelru,https://github.com/hashicorp/golang-lru/blob/v2.0.7/simplelru/LICENSE_list,BSD-3-Clause
github.com/jinzhu/inflection,https://github.com/jinzhu/inflection/blob/v1.0.0/LICENSE,MIT
github.com/jinzhu/now,https://github.com/jinzhu/now/blob/v1.1.5/License,MIT
github.com/leodido/go-urn,https://github.com/leodido/go-urn/blob/v1.4.0/LICENSE,MIT
github.com/mattn/go-isatty,https://github.com/mattn/go-isatty/blob/v0.0.22/LICENSE,MIT
github.com/mattn/go-runewidth,https://github.com/mattn/go-runewidth/blob/v0.0.24/LICENSE,MIT
github.com/mattn/go-sqlite3,https://github.com/mattn/go-sqlite3/blob/v1.14.32/LICENSE,MIT
